id,pred,gt,meta
1hug1qbpbAw,(A) The Empire State Building.,(B) The Capitol building.,"{'video_id': '1hug1qbpbAw', 'clip_id': '1hug1qbpbAw-Scene-005', 'question': 'What is this landmark visible behind the host?', 'hint': 'In the video, the host is seated in a professional setting, indicating a formal environment. He is dressed in a dark suit, white shirt, and tie and is positioned in front of a desk designed to mimic a newsroom. The background includes a well-lit screen that shows a significant landmark.', 'multiple_choice': ['The Empire State Building.', 'The Capitol building.', 'The Eiffel Tower.', 'The White House.'], 'multiple_choice_answer': 'The Capitol building.', 'open_answer': 'The answer is the Capitol building.', 'scene_description': ""The video clip shows the host of a television program, presumably a satirical news show, seated in front of a desk in a studio designed to mimic a newsroom. The environment is well-lit, with a balanced mix of warm and cool lighting that highlights the host while maintaining the integrity of the background, which includes a window view of the Capitol at dusk. The host is dressed formally in a dark suit, white shirt, and tie, indicating a professional setting. In the inset window, there's another individual wearing a suit in what appears to be an interview setup. Throughout the frames, there are no significant changes or actions; both figures remain seated, and the host seems to be making a point during his monologue.""}"
1hug1qbpbAw,(B) A 64-year-old person's health insurance premium.,(B) A 64-year-old person's health insurance premium.,"{'video_id': '1hug1qbpbAw', 'clip_id': '1hug1qbpbAw-Scene-014', 'question': 'What is the age group mentioned in the graphic for whom the premium costs are being compared?', 'hint': ""In the video, there is a graphic that highlights the financial impact on health insurance premiums for a certain age group under different plans. It shows a 750% increase arrow from one figure to another, a 'GOP PLAN' label with an intermediate cost, and a background indicating the subject matter is health care legislation. The premium costs are compared against an 'OBAMACARE' label."", 'multiple_choice': [""A 45-year-old person's health insurance premium."", ""A 64-year-old person's health insurance premium."", ""A 30-year-old person's health insurance premium."", ""A 75-year-old person's health insurance premium.""], 'multiple_choice_answer': ""A 64-year-old person's health insurance premium."", 'open_answer': ""The answer is a 64-year-old person's health insurance premium."", 'scene_description': ""The video clip displays a full-screen graphic with a predominantly blue and white color scheme. It's titled 'AMERICAN HEALTH CARE ACT' at the top with a red and blue logo to the left, indicating the subject matter pertains to health care legislation. The focus is on the cost impact for a 64-year-old person's health insurance premium. Initially, the premium cost is listed as $26,500 under an unspecified plan, with an arrow indicating a 750% increase compared to another figure. The 'OBAMACARE' label shows a cost of $1,700, suggesting this is the comparative lower rate before the increase. The 'GOP PLAN' label shows a cost of $14,600, which appears to be an intermediate figure between Obamacare and the unnamed plan. The environment is minimalistic, with an out-of-focus hallway in the background giving all attention to the graphic.""}"
1hug1qbpbAw,"(C) A red and blue microphone. Based on the video, it's clear that the man in the dark suit is using a microphone to highlight points on the presentation slide. The microphone is the tool he is using to make the highlighted points stand out.",(A) A black and green laser pointer.,"{'video_id': '1hug1qbpbAw', 'clip_id': '1hug1qbpbAw-Scene-020', 'question': 'What is the tool that the man in the dark suit using to highlight points on the slide?', 'hint': ""In the video, there is a man wearing a dark suit who is utilizing a tool to highlight points on a presentation slide behind him. The slide has the title 'Repealing & Replacing Obamacare' and is surrounded by American flags. The light in the room is typical for an indoor setting."", 'multiple_choice': ['A black and green laser pointer.', 'A black whiteboard marker.', 'A red and blue microphone.', 'A green highlighter pen.'], 'multiple_choice_answer': 'A black and green laser pointer.', 'open_answer': 'The answer is a black and green laser pointer.', 'scene_description': ""The clip opens with a medium shot of a man in a dark suit pointing at a presentation titled 'Repealing & Replacing Obamacare'. He's using a green laser pointer to highlight points on the slide behind him, which is flanked by American flags. The light in the room appears standard for an indoor setting. In the following close-up shots, there's a newspaper headline from 'The Washington Post' reading 'Trump loyalists sound alarm over 'RyanCare', endangering health bill'. It's shown twice, indicating its importance. These frames showcase a group of men seated around a table; one is gesturing with his hand while talking to others. The room has a formal atmosphere, likely a political or governmental setting, and the men are wearing business attire.""}"
1hug1qbpbAw,"(A) Donald Trump. From the video, we can see a man with brown hair, wearing a suit and tie, standing with another man who is facing away from the camera, both of them are standing in front of an open door. The background of the scene shows a twilight scene of the Capitol building. Donald Trump is the only individual with brown hair in the scene.",(C) Billy Bush.,"{'video_id': '1hug1qbpbAw', 'clip_id': '1hug1qbpbAw-Scene-029', 'question': 'Who is the individual with brown hair between the two?', 'hint': 'In the video, there is a scene whose background is an image of the Capitol building during twilight, with warm and cool lighting creating a serene atmosphere. The anchor, dressed in a dark suit and tie, standing in the front of the opened door. The left image shows two men standing next to each other, both wearing suits.', 'multiple_choice': ['Donald Trump.', 'Trevor Noah.', 'Billy Bush.', 'Joe Biden.'], 'multiple_choice_answer': 'Billy Bush.', 'open_answer': 'The answer is Billy Bush.', 'scene_description': ""The scene takes place in a news studio with a desk, where the anchor sits. The background is an image of the Capitol building during twilight, with warm and cool lighting creating a serene atmosphere. The anchor, dressed in a dark suit and tie, is gesturing with his hands to emphasize the voice-over. In the top left corner, there's an inset screen displaying footage related to the commentary. It shows two men standing next to each other, one wearing a suit and the other casually dressed. The studio is well-lit with studio lights, accentuating the anchor and his surroundings. The colors are primarily dark and muted with highlights from the background lighting and screens.""}"
24NMhHpJyPw,(C) A clock.,(D) A mirror.,"{'video_id': '24NMhHpJyPw', 'clip_id': '24NMhHpJyPw-Scene-010', 'question': 'What is the object that hung on the wall?', 'hint': 'In the video, a scene begins inside a hotel room where a girl is looking around, expressing excitement about the interior and its furnishings, including beds.', 'multiple_choice': ['A painting.', 'A poster.', 'A clock.', 'A mirror.'], 'multiple_choice_answer': 'A mirror.', 'open_answer': 'The answer is a mirror.', 'scene_description': ""The scene begins inside a hotel room where a person discovers a pin and a mirror, expressing excitement about the interior and its furnishings, including beds. They're particularly thrilled by the room's proximity to food services. As the person approaches the window, they are amazed by the panoramic view it offers, commenting on various attractions such as Expedition Everest and the dig site in the pool area visible from their vantage point. The environment outside is bright and sunny, showcasing lush greenery, bodies of water, and resort buildings. The indoor color palette is neutral with splashes of red from curtains and furniture. The outdoor scene is vibrant with blue skies, green landscapes, and architectural elements in earth tones.""}"
24NMhHpJyPw,(A) A pack of bathrobes.,(B) An in-room safe.,"{'video_id': '24NMhHpJyPw', 'clip_id': '24NMhHpJyPw-Scene-025', 'question': 'What is this item?', 'hint': ""In the video, there's an item that is located at the bottom of a wooden wardrobe, next to a wooden bench. This item has is typically seen in the hotel room."", 'multiple_choice': ['A pack of bathrobes.', 'An in-room safe.', 'A mini-fridge.', 'A set of slippers.'], 'multiple_choice_answer': 'An in-room safe.', 'open_answer': 'The answer is an in-room safe.', 'scene_description': ""The video starts with a close-up of a shelf within a wooden wardrobe, showcasing neatly stored items: a white 'Extra Pillow / Blanket' bag and a black 'Conair Hospitality Steam Iron' pouch. The environment appears to be a hotel room, indicated by the hospitality-grade items. The light is soft and warm, creating a cozy atmosphere. As the camera tilts down, it reveals an in-room safe with an electronic keypad, nestled at the bottom of the wardrobe. The safe is made of dark metal, contrasting with the light wood of the wardrobe. Adjacent to the safe, there's a wooden bench matching the wardrobe's finish. Panning further out, the camera provides a clearer view of the safe's open door and the bench beside it. In the final shot, we see the full height of the wardrobe with its doors open, showcasing multiple empty shelves and a row of hooks on the door for hanging clothes. The walls are painted in light colors, complementing the warm wood tones of the furniture.""}"
24NMhHpJyPw,"(A) Six pairs of forks and knives are placed on the table. The video shows six pairs of cutlery on the table in the dining area, making it clear that six pairs are present.",(B) Four.,"{'video_id': '24NMhHpJyPw', 'clip_id': '24NMhHpJyPw-Scene-037', 'question': 'How many pairs of forks and knives are placed on the table?', 'hint': ""In the video, a scene opens in a well-lit, upscale dining area, most likely inside Disney's Gran Destino Tower. The tables are arranged neatly with sets of cutlery wrapped in white napkins and wine glasses suggesting preparation for a meal service."", 'multiple_choice': ['Six.', 'Four.', 'Eight.', 'Two.'], 'multiple_choice_answer': 'Four.', 'open_answer': 'The answer is four.', 'scene_description': ""The scene opens in a well-lit, upscale dining area, most likely inside Disney's Gran Destino Tower. The tables are arranged neatly with sets of cutlery wrapped in white napkins and wine glasses suggesting preparation for a meal service. The decor includes dark brown chairs with patterned backs and a tiled floor that reflects the natural light streaming in from the large windows. A view of the green landscape outside is visible. There's no sign of diners or staff, indicating either an off-hour or preparation time before guests arrive. The color scheme is earthy with browns, creams, and hints of green from the outside view. As the camera moves forward, it reveals more of the empty restaurant, emphasizing the spaciousness and quiet elegance of the venue.""}"
24NMhHpJyPw,(A) An irrigation system.,(B) A fountain.,"{'video_id': '24NMhHpJyPw', 'clip_id': '24NMhHpJyPw-Scene-052', 'question': 'What is the water feature?', 'hint': 'In the video, we see a balcony railing with a backdrop of a lake, greenery, and buildings. There is a water feature in the lake far away from the balcony.', 'multiple_choice': ['An irrigation system.', 'A fountain.', 'A swimming pool.', 'A waterfall.'], 'multiple_choice_answer': 'A fountain.', 'open_answer': 'The answer is a fountain.', 'scene_description': ""The video clip features a narrator describing their experience at Disney's Coronado Springs Resort. They mention exploring the 16th floor, appreciating the restaurants and the view, and expressing excitement over seeing the Tower of Terror from their location. The decision to try a new restaurant located in the middle of the lake is conveyed. Visually, we see a balcony railing with a backdrop of a lake, fountain, greenery, and buildings. The environment appears serene with overcast lighting. The water from the fountain jets into the air, creating a calm ambiance. Architectural details suggest resort-style buildings with warm hues. The colors in the frame are mostly muted with greens, blues, and earthy tones dominating due to natural elements and distant buildings.""}"
4AxWuk52ZUQ,(A) A screwdriver.,(D) A utility knife.,"{'video_id': '4AxWuk52ZUQ', 'clip_id': '4AxWuk52ZUQ-Scene-006', 'question': 'What could this small, yellow object be?', 'hint': ""In the video, there is a cramped and possibly makeshift room filled with stacked shoe boxes and various items that suggest a busy environment. Among these items, there's a small, yellow object that the central figure is holding with hands."", 'multiple_choice': ['A screwdriver.', 'A paintbrush.', 'A pencil.', 'A utility knife.'], 'multiple_choice_answer': 'A utility knife.', 'open_answer': 'The answer is an utility knife.', 'scene_description': ""The scene takes place in a cluttered, possibly makeshift room that resembles a storage area or backroom of a shop. The space is cramped with stacked shoe boxes, various items, and equipment suggesting a quick-paced or busy environment. The central figure is seated with a skateboard between their legs, hands engaged in an activity with a small, yellow object. The person's actions appear meticulous, possibly adjusting or fixing something. In the background, shelves are filled with boxes and bottles, hinting at a collection or inventory. Among the chaos, two large speakers flank the sides of the frame, indicative of a place where music is appreciated or used to create ambiance. The room is well-lit by overhead lights casting a natural color palette over the assorted objects and vibrant skateboard.""}"
4AxWuk52ZUQ,(A) Black. The car with the brand in a 'V' shape is black. It is not clear what type of car it is.,(D) Yellow.,"{'video_id': '4AxWuk52ZUQ', 'clip_id': '4AxWuk52ZUQ-Scene-016', 'question': ""What is the color of the car with a brand in a 'V' shape?"", 'hint': 'In the video, there is a spacious garage that has a high ceiling adorned with string lights and an industrial look. It is dimly lit apart from the natural light entering from the side and the overhead festive string lights. This garage is filled with various cars, both classic and modern. Two individuals are seen engaging in a friendly conversation amidst these vehicles.', 'multiple_choice': ['Black.', 'White.', 'Red.', 'Yellow.'], 'multiple_choice_answer': 'Yellow.', 'open_answer': 'The answer is bright yellow.', 'scene_description': 'The video begins with a medium shot of a bright yellow sports car in a spacious garage filled with various classic and modern cars. The garage has a high ceiling with string lights and an industrial aesthetic. As the camera moves, the focus shifts to a person walking towards another person standing among the cars. The interior is dimly lit, except for natural light entering from the side and the festive string lights above. We see sports cars of various colors like red and white. Two men are having a casual conversation in a friendly manner. The camera then switches to a selfie-style rotation, showing two individuals from a closer perspective. Their attire is casual; one wears a patterned black hoodie, while the other has a brown leather jacket. The scene conveys an informal gathering of car enthusiasts in a private club-like setting.'}"
4AxWuk52ZUQ,"(B) A certificate of YouTube best creator. Based on the video, it is clear that the man is smiling and interacting with a laptop or computer, but the laptop is not the main item in the scene. Instead, there are various objects in the background such as a vintage motorcycle helmet and orange strap on the table, which could be seen as part of a set. The video shows a close-up of the man's hands holding the laptop, and",(A) A laptop with a red sticker.,"{'video_id': '4AxWuk52ZUQ', 'clip_id': '4AxWuk52ZUQ-Scene-024', 'question': 'What is this item?', 'hint': 'In the video, there is a scene that the indoor setting is cluttered with various objects such as monitors showing CCTV footage, vintage memorabilia on the walls, and an orange strap on the table. A person is seen wearing a red and black jacket and camouflage pants. There is a close-up of his hands as he interacts with an item with a red youtube logo sticker on it.', 'multiple_choice': ['A laptop with a red sticker.', 'A certificate of YouTube best creator.', 'A book with the YouTube logo.', 'A tablet on the table.'], 'multiple_choice_answer': 'A laptop with a red sticker.', 'open_answer': 'The answer is a laptop.', 'scene_description': ""The video begins with a first-person perspective of someone moving along a city pathway, possibly riding a bike given the speed and height of the camera. The environment is an urban setting with buildings, leafless trees, overcast skies, and a few cars and pedestrians. The scene transitions to an indoor setting with warm lighting, cluttered with various objects such as monitors showing CCTV footage, vintage memorabilia on the walls, a bottle of green liquid, and an orange strap on the table. A person wearing a red and black jacket and camouflage pants is seen from behind and then turns around to interact with something off-camera. Next, there's a close-up of their hands as they hand over a closed laptop with a red sticker on it.""}"
4AxWuk52ZUQ,"(A) A broken phone. Given the context of the video and the caption, the most likely option is that the object on the table is a broken phone, particularly since the video shows a man looking at and interacting with the object. The lens of the phone and the presence of a pair of hands applying something to its surface suggest that it is broken and being repaired or customized.",(C) A camera.,"{'video_id': '4AxWuk52ZUQ', 'clip_id': '4AxWuk52ZUQ-Scene-034', 'question': 'What is this object?', 'hint': 'In the video, there is a centrally positioned object that appears to be the main focus of the activity occurring on the cluttered table. It has a lens facing the viewer and is being interacted with by a pair of hands. The hands are applying something to its surface, which suggests some customization or decorative process might be taking place.', 'multiple_choice': ['A broken phone.', 'A protable speaker.', 'A camera.', 'A handiwork.'], 'multiple_choice_answer': 'A camera.', 'open_answer': 'The answer is a camera/Sony camera.', 'scene_description': ""The scene takes place at a cluttered table, likely within a workshop or creative space given the informal setting and various items scattered around. A Sony camera is centrally positioned on the table, with its lens facing the viewer. The subject's hands are interacting with the camera, applying what appears to be matches to its surface, possibly as part of a customization or decorative process. The hands are deliberate in their actions, suggesting a level of care or attention to detail. Surrounding the camera are other small objects, including what looks like a battery and possibly other electronic components, hinting at some technical activity taking place. The environment is warmly lit, casting soft shadows and highlighting the colors, such as the red circular design on the table, and the multi-colored hoodie sleeves of the subject.""}"
0GHQIJtjNJ0,(B) A fire extinguisher.,(B) A fire extinguisher.,"{'video_id': '0GHQIJtjNJ0', 'clip_id': '0GHQIJtjNJ0-Scene-005', 'question': 'What is this safety device?', 'hint': ""In the video, after the man open the door, there's an interior view of a cozy setting with warm lighting and red-patterned blankets. White and brown cabinets are visible along with a specific safety device with white color mounted near the door."", 'multiple_choice': ['A first aid kit.', 'A fire extinguisher.', 'A carbon monoxide alarm.', 'A smoke detector.'], 'multiple_choice_answer': 'A fire extinguisher.', 'open_answer': 'The answer is a fire extinguisher.', 'scene_description': ""The video begins with a view inside an Airstream trailer, focusing on an open door with 'FLYING CLOUD' embossed on it. The interior glimpse reveals a cozy setting with warm lighting, red-patterned cushions, white cabinets, and a fire extinguisher mounted near the door. As the camera pans outside, we see a van parked beside the Airstream with 'THE MORE WE EXPLORE' and '860' graphics. The natural light outside is bright, indicating daytime, with shadows suggesting it's either morning or late afternoon. The surrounding environment is lush with green grass and trees providing a serene setting. The van and trailer are parked on what appears to be gravel or dirt ground. A male figure wearing a light-colored shirt and dark shorts can be seen briefly as he walks from behind the van.""}"
0GHQIJtjNJ0,(A) The RV's water pump and associated plumbing system.,(A) The RV's water pump and associated plumbing system.,"{'video_id': '0GHQIJtjNJ0', 'clip_id': '0GHQIJtjNJ0-Scene-013', 'question': 'What is the system that the person is focused on maintaining within the vehicle?', 'hint': 'In the video, there is mention of a white and yellow cabinet door being opened by the woman to reveal a system that is typically involved in the functioning of an RV. This black system is situated on the floor of the compartment and has mechanical elements, white pipes, and possibly electrical components.', 'multiple_choice': [""The RV's water pump and associated plumbing system."", ""The RV's air conditioning unit and ductwork."", ""The RV's propane tank and gas lines."", ""The RV's electrical panel and wiring.""], 'multiple_choice_answer': ""The RV's water pump and associated plumbing system."", 'open_answer': ""The answer is the RV's water pump and associated plumbing system."", 'scene_description': ""The scene takes place inside a narrow space with wooden cabinets, resembling an RV interior. A person is engaged in a maintenance task, focused on a system within the vehicle. The individual is wearing a casual striped yellow and grey top. They open a grey cabinet door to reveal what appears to be a water pump and associated plumbing, situated on the floor of the compartment. The environment is well-lit with natural light, suggesting daytime. The person gestures towards the compartment, implying a process of flushing out antifreeze from the system post-winterization. The cabinet's interior holds mechanical elements, pipes, and possibly electrical components. The color palette is warm with beige tones from the wooden surfaces contrasting with the grey of the metal and plastic parts inside the cabinet.""}"
0GHQIJtjNJ0,"(A) Lifting the toilet lid. The action of the person in the video appears to involve lifting the toilet lid, which allows the person to access the cleaning materials and remove the red object from the bowl. It is likely that the toilet is in need of cleaning, as the presence of the red object in the bowl suggests a possible clog. Based on the video, it is reasonable to assume that the person is performing the action of clean",(A) Lifting the toilet lid.,"{'video_id': '0GHQIJtjNJ0', 'clip_id': '0GHQIJtjNJ0-Scene-019', 'question': 'What is this action?', 'hint': 'In the video, a scene takes place in a small, compact bathroom, likely within an RV, given the cramped space and proximity of fixtures. The toilet is a typical white RV toilet with a plastic seat and lid. After the person doing an action, we see a red object in the bowl.', 'multiple_choice': ['Lifting the toilet lid.', 'Flushing the toilet.', 'Cleaning the toilet.', 'Replacing the toilet seat.'], 'multiple_choice_answer': 'Lifting the toilet lid.', 'open_answer': 'The answer is lifting the toilet lid.', 'scene_description': ""The clip takes place in a small, compact bathroom, likely within an RV, given the cramped space and proximity of fixtures. The toilet is a typical white RV toilet with a plastic seat and lid. The first frame shows the toilet with the lid down. As the lid is lifted, we see a red object in the bowl, which appears to be a plastic toy. Upon flushing, the water swirls but does not immediately wash away the object, indicating a possible clog or weak flush power. The walls are plain and featureless, and there is wood cabinetry adjacent to the toilet. The lighting is artificial and comes from above, casting shadows within the bowl. No characters are visible, but a hand is seen performing the action of flushing. There's no background music or sound besides the voice-over.""}"
0GHQIJtjNJ0,(A) A minibus.,(B) A trailer.,"{'video_id': '0GHQIJtjNJ0', 'clip_id': '0GHQIJtjNJ0-Scene-027', 'question': 'What is the name of this type of vehicle?', 'hint': 'In the video, there is a scene with two individuals walking down a road during a specific time of day when the sky has shades of pink and blue. The environment is lush with greenery, and there is a specific vehicle behind them in the distance.', 'multiple_choice': ['A minibus.', 'A trailer.', 'A van.', 'A private car.'], 'multiple_choice_answer': 'A trailer.', 'open_answer': 'The answer is a trailer.', 'scene_description': ""Two individuals are walking down a narrow, paved road surrounded by lush greenery during twilight. The sky is tinted with hues of pink and blue, indicating either dawn or dusk. The person on the left appears to be wearing a yellow top with darker bottoms, while the one on the right is in a dark shirt. They are conversing about their airstream, which they've purchased to serve as their home rather than for recreational camping. As they walk, the environment suggests a serene, natural setting away from city life. There is some foliage on the side of the path and an airstream is visible in the distance, parked alongside the road. The lighting is natural, soft, and dimming, suggesting that it's either early morning or late evening.""}"
--GUsNS6Z38,(B) A teal-colored spoon.,(A) A teal-colored spatula.,"{'video_id': '--GUsNS6Z38', 'clip_id': '--GUsNS6Z38-Scene-010', 'question': 'Can you tell me what this utensil is based on its color and purpose as described?', 'hint': ""In the video, there is a child's hands using a specific utensil to combine ingredients together. This utensil has a unique color that stands out against the pink mat and is used to mix chopped hard-boiled eggs, mayonnaise, and mustard to create an egg salad."", 'multiple_choice': ['A teal-colored spatula.', 'A teal-colored spoon.', 'A blue-colored spatula.', 'A blue-colored spoon.'], 'multiple_choice_answer': 'A teal-colored spatula.', 'open_answer': 'The answer is a teal-colored spatula.', 'scene_description': ""The clip showcases a top-down view of a food preparation process on a pink, textured mat, with two yellow emoji-patterned napkins on each side. We see a pair of child's hands working. They start by placing chopped hard-boiled eggs into a white bowl. The hands then add mayonnaise from a squeeze bottle and squirt yellow mustard over the eggs. Next, they use a teal-colored spatula to mix the ingredients, creating egg salad. The environment suggests a clean and child-friendly kitchen setting with bright lighting that highlights the vibrant colors of the ingredients, the utensils, and the surrounding materials. The eggs are white and yellow, mayonnaise is creamy white, mustard is bright yellow, and the spatula is teal against the vivid pink mat.""}"
--GUsNS6Z38,"(A) A green circular mat with a unicorn print. Based on the video, the circular mat appears to have a unicorn print on it, suggesting that it's a decorative item in the kitchen setup, adding a playful touch to the scene. Additionally, it is placed next to the metallic tray with golden yellow chicken nuggets, which suggests it may be part of the kitchen setup for the preparation of a meal.",(C) A colorful napkin with a dinosaur print.,"{'video_id': '--GUsNS6Z38', 'clip_id': '--GUsNS6Z38-Scene-026', 'question': 'Can you tell me what is this item with the playful print?', 'hint': ""In the video, it mentions a colorful item with a specific print that adds a playful touch to the scene. This item is placed next to the metallic tray which has frozen, uncooked, golden yellow chicken nuggets shaped like prehistoric creatures. It's mentioned alongside a green circular mat, which suggests it's part of the kitchen setup for the preparation of a meal."", 'multiple_choice': ['A green circular mat with a unicorn print.', 'A green napkin with a unicorn print.', 'A colorful napkin with a dinosaur print.', 'A colorful placemat with a dinosaur print.'], 'multiple_choice_answer': 'A colorful napkin with a dinosaur print.', 'open_answer': 'The answer is a colorful napkin with a dinosaur print.', 'scene_description': ""The video shows a kitchen environment with a focus on a metallic tray placed on a green circular mat next to a colorful napkin with a dinosaur print. A child's hand is seen placing frozen chicken nuggets, which are shaped like dinosaurs, onto the tray. The nuggets are golden yellow and uncooked. There are six nuggets evenly spaced on the tray. The lighting in the scene is bright, suggesting an indoor setting with ample light, likely from overhead kitchen lights. There's no other movement or characters in the frame, indicating that the focus is solely on the preparation of the chicken nuggets for cooking. The voice-over implies that this is part of a cooking process being undertaken by a child with supervision from an adult.""}"
--GUsNS6Z38,(A) Lunch container is intended for storing a dessert.,(B) Lunch container is intended for storing a roll-up sandwich.,"{'video_id': '--GUsNS6Z38', 'clip_id': '--GUsNS6Z38-Scene-039', 'question': 'Based on this information, what is the intended use of this lunch container?', 'hint': 'In the video, there is a clear, plastic lunch container placed centrally on top of a red circular placemat, with multiple compartments. The surrounding environment is clean and bright, likely a kitchen or a crafting table designed for children. A hand enters the frame, possibly belonging to a child who is preparing food. Nearby, there are napkins with rainbow and cloud patterns.', 'multiple_choice': ['Lunch container is intended for storing a dessert.', 'Lunch container is intended for storing a roll-up sandwich.', 'Lunch container is intended for storing the egg salad.', 'Lunch container is intended for storing a cheeseburger.'], 'multiple_choice_answer': 'Lunch container is intended for storing a roll-up sandwich.', 'open_answer': 'The answer is that lunch container is intended for storing a roll-up sandwich.', 'scene_description': ""The video frames depict a brightly colored food preparation scene from a bird's-eye view. The main focus is on a clear, plastic lunch container with multiple compartments placed centrally on top of a red circular placemat, surrounded by orange and yellow placemats, adding vibrancy to the setting. The surrounding environment is clean and bright, likely a kitchen or a crafting table designed for children. A hand enters the frame, indicating the presence of a person, possibly a child, who is preparing food. The narrator describes making a roll-up sandwich. A tortilla will be used as the base, although it hasn't been shown yet in the frames provided. Nearby are napkins with rainbow and cloud patterns. The hand reaches for what appears to be a container of pesto or green sauce, suggesting this will be an ingredient in the sandwich.""}"
--GUsNS6Z38,(B) A pear pattern.,(D) A pineapple pattern.,"{'video_id': '--GUsNS6Z38', 'clip_id': '--GUsNS6Z38-Scene-055', 'question': 'What is this pattern on the napkins?', 'hint': 'In the video, there are brightly colored patterned napkins that add to the aesthetic of the kitchen setup. A plate beside the napkins is being filled with ingredients like thinly sliced white onions, sliced dill pickles, and a shredded yellow cheese blend. The pattern of the napkin features a fruit known for its sweet taste.', 'multiple_choice': ['A banana pattern.', 'A pear pattern.', 'A watermelon pattern.', 'A pineapple pattern.'], 'multiple_choice_answer': 'A pineapple pattern.', 'open_answer': 'The answer is a pineapple pattern.', 'scene_description': 'The scene unfolds in a brightly lit kitchen, showcasing a vibrant turquoise plate with multiple sections on a counter with a colorful pineapple-patterned paper. A bowl of green lettuce sits beside the plate. The voice-over talks about making a cheeseburger salad, using typical cheeseburger components. Thinly sliced white onions are neatly placed in one section of the plate. Then, sliced dill pickles are added to another section. Following this, shredded yellow cheese—cheddar and Jack blend—is sprinkled into the largest section. Each ingredient is carefully portioned out, suggesting a focus on healthy or controlled eating. The person preparing the salad is wearing a smartwatch and rings, hinting at a casual yet stylish setting. The environment feels clean, orderly, and the daylight enhances the fresh look of the ingredients.'}"
-4Y8VF7ZKzY,(D) Legal requirements that govern property ownership.,(B) Building codes related to the size of a residential property.,"{'video_id': '-4Y8VF7ZKzY', 'clip_id': '-4Y8VF7ZKzY-Scene-009', 'question': 'What is the quote highlighted in the video about?', 'hint': 'In the video, there are official-looking documents that are being scrutinized. They contain visible headers, body text, and signatures. The papers are spread out. These documents are in a muted color palette with whites, greys and there is a image a man and a woman on the upper right corner.', 'multiple_choice': ['Zoning regulations for commercial buildings.', 'Building codes related to the size of a residential property.', 'Property taxes and assessments to be paid.', 'Legal requirements that govern property ownership.'], 'multiple_choice_answer': 'Building codes related to the size of a residential property.', 'open_answer': 'The answer is building codes related to the size of a residential property.', 'scene_description': 'The video showcases a close-up of several documents with a bold quotation over them, highlighting a critical voice-over statement regarding the size of a building referred to as a home. The papers appear to be official, possibly legal documents or correspondence, with visible headers, body text, and signatures. They are strewn across a surface, suggesting they have been reviewed or are in the process of being examined. The color palette is muted with whites, greys, and subtle reds from the ABC News logo and watermark. As the camera zooms in, the focus sharpens on the text, emphasizing the quote about building codes, which seems to question the zoning regulations and definitions of residential properties.'}"
-4Y8VF7ZKzY,(A) A large mirror reflecting the sky beside the house.,(D) An infinity pool beside the house.,"{'video_id': '-4Y8VF7ZKzY', 'clip_id': '-4Y8VF7ZKzY-Scene-023', 'question': 'What is this water feature that reflects the clear blue sky?', 'hint': 'In the video, a modern house with floor-to-ceiling glass doors is seen. A spacious patio with beige tiles extends under a wooden pergola, leading to an expansive green lawn and a sizable rectangular water feature that mirrors the sky. Rolling hills and lush vegetation are visible in the distance, within a high-end residential area. Two figures emerge from the house dressed in business attire, one in a suit and the other in a smart shirt and trousers.', 'multiple_choice': ['A large mirror reflecting the sky beside the house.', 'A natural pond in the mountains beside the house.', 'A decorative fountain in the garden beside the house.', 'An infinity pool beside the house.'], 'multiple_choice_answer': 'An infinity pool beside the house.', 'open_answer': 'The answer is an infinity pool beside the house.', 'scene_description': 'In the video, two men are seen walking out from what appears to be a modern, large, white house with floor-to-ceiling glass doors. They step onto a spacious patio with beige tiles under a wooden pergola, suggesting a luxurious property. The backyard boasts an expansive green lawn and a sizable rectangular infinity pool that reflects the clear blue sky. In the distance, rolling hills and lush vegetation are visible, indicating a serene, high-end residential area. The men are dressed in business attire; one is in a suit and the other in a smart shirt and trousers. The light suggests late afternoon with shadows stretching across the patio. The overall color palette is earthy and natural with greens, blues, and beiges dominating the scene.'}"
-4Y8VF7ZKzY,(B) The renovation from a residential property to a commercial building.,(D) The property development for the construction of a high-end residence.,"{'video_id': '-4Y8VF7ZKzY', 'clip_id': '-4Y8VF7ZKzY-Scene-034', 'question': 'What is being discussed by the two individuals on the balcony overlooking the construction site?', 'hint': ""In the video, it mentions an environment with vast, open landscapes and an overcast sky. Two individuals are dressed in protective gear, indicating an active construction zone. There's an interior framework of a large building with visible wooden structures and insulation layers, suggesting ongoing construction work. Also, graphics illustrate a sophisticated, white multi-level residence amid greenery."", 'multiple_choice': ['The demolition of a building for a new construction project.', 'The renovation from a residential property to a commercial building.', 'The refurbishment of an existing residence with modern amenities.', 'The property development for the construction of a high-end residence.'], 'multiple_choice_answer': 'The property development for the construction of a high-end residence.', 'open_answer': 'The answer is the property development for the construction of a high-end residence.', 'scene_description': ""The clip opens with an exterior wide shot of two people on a balcony overlooking a construction site, suggesting a discussion about property development. The environment appears affluent, with vast, open landscapes and high-end properties. The sky is overcast. Both individuals are dressed in protective gear, indicating an active construction zone. Subsequent frames show the interior framework of a large building with wooden structures and insulation layers visible, alluding to ongoing construction work. There's a shift to graphics illustrating a sophisticated, white multi-level residence amid greenery, representing the building plans for the property in discussion. The text overlay emphasizes the simplification of the building process by adhering to the original plans.""}"
